DATE,OPEN,HIGH,LOW,PREV. CLOSE,CLOSE,VWAP,NO OF TRADES
2024-02-09,703.65,728.35,694.2,699.55,725.25,711.47,757763
2024-02-08,680.4,718.9,678.5,675.25,699.55,700.87,978644
2024-02-07,655.05,677.95,655.0,650.25,675.25,669.94,797692
2024-02-06,644.45,655.0,637.7,642.95,650.25,644.26,230842
2024-02-05,647.1,654.8,638.75,649.65,642.95,646.89,348687
2024-02-02,652.0,660.55,646.7,647.65,649.65,653.81,362306
2024-02-01,642.75,652.95,633.25,640.5,647.65,644.85,341287
2024-01-31,626.4,643.2,622.0,626.75,640.5,634.65,331696
2024-01-30,625.45,633.5,624.2,622.95,626.75,628.36,340803
2024-01-29,619.0,629.5,615.6,612.75,622.95,622.28,375931
2024-01-25,618.5,623.8,606.25,618.3,612.75,612.47,295756
2024-01-24,609.95,622.35,603.1,605.1,618.3,615.78,274606
2024-01-23,627.0,634.9,600.65,631.4,605.1,613.88,409569
2024-01-20,629.0,633.8,624.1,627.75,631.4,628.99,133765
2024-01-19,633.0,635.5,624.7,628.3,627.75,629.47,208754
2024-01-18,625.8,633.45,619.05,626.0,628.3,627.46,239183
2024-01-17,624.0,636.8,623.0,636.9,626.0,628.6,428458
2024-01-16,640.0,644.9,633.45,640.1,636.9,639.72,253396
2024-01-15,638.9,645.5,636.1,633.6,640.1,640.23,300031
2024-01-12,623.8,636.5,621.1,620.2,633.6,630.54,302558
2024-01-11,626.0,627.15,618.5,621.75,620.2,621.85,284550
2024-01-10,624.8,625.3,618.2,625.4,621.75,622.15,213657
2024-01-09,632.0,634.35,624.5,627.0,625.4,629.7,236123
2024-01-08,640.0,645.0,625.05,641.95,627.0,633.49,336839
2024-01-05,645.0,651.75,637.75,642.75,641.95,645.02,272662
2024-01-04,642.5,646.4,638.65,643.45,642.75,642.95,271568
2024-01-03,639.35,648.0,635.8,639.45,643.45,643.21,252225
2024-01-02,641.35,648.0,633.85,641.35,639.45,640.47,249803
2024-01-01,642.2,646.9,638.0,642.05,641.35,643.93,257804
2023-12-29,645.5,649.6,639.55,651.4,642.05,642.49,332467
2023-12-28,650.25,653.3,646.5,648.55,651.4,650.46,301058
2023-12-27,640.75,649.45,639.0,638.05,648.55,645.18,295473
2023-12-26,638.85,641.3,635.65,636.75,638.05,639.19,298625
2023-12-22,644.75,649.4,635.15,643.75,636.75,642.31,307210
2023-12-21,632.15,648.95,627.5,636.45,643.75,639.02,347188
2023-12-20,658.7,660.4,633.95,655.4,636.45,647.91,419233
